,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,old_index,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
2416,10.1,0.047,0.26,0.9962200000000001,7.0,30.0,-1.0,3.38,6,6.85,0.58,220.0,0.16
2423,10.1,0.036000000000000004,0.29,0.99411,7.2,17.0,-1.0,3.36,6,3.0,0.68,117.0,0.24
2426,11.2,0.04,0.26,0.9919399999999999,7.3,32.0,-1.0,3.27,6,1.5,0.48,172.0,0.22
2427,9.8,0.04,0.28,0.9955799999999999,8.1,70.0,-1.0,3.14,6,7.5,0.55,230.0,0.34
2433,8.9,0.054000000000000006,0.2,0.9988799999999999,7.4,63.0,-1.0,3.11,6,13.9,0.5,229.0,0.35
2434,9.1,0.045,0.27,1.00014,8.3,48.0,-1.0,3.02,6,17.5,0.56,253.0,0.28
2437,10.0,0.05,0.28,0.9943700000000001,8.0,34.0,-1.0,3.13,6,4.8,0.5,150.0,0.26
2439,9.9,0.042,0.37,0.9979,7.3,36.0,-1.0,3.48,6,9.7,0.75,130.0,0.27
2441,11.5,0.027999999999999997,0.28,0.99203,7.2,13.0,-1.0,3.17,6,1.6,1.06,168.0,0.2
2447,9.8,0.042,0.26,0.9961200000000001,6.5,21.0,-1.0,3.43,6,8.2,0.64,133.0,0.27
2448,10.5,0.04,0.27,0.99295,6.6,19.0,-1.0,3.36,6,1.5,0.62,114.0,0.26
2449,10.6,0.043,0.26,0.9939399999999999,6.7,61.0,-1.0,3.45,6,2.3,0.63,181.0,0.27
2453,10.8,0.027000000000000003,0.26,0.9926799999999999,6.3,36.0,-1.0,3.53,6,1.6,0.56,141.0,0.2
2455,9.6,0.031,0.33,0.99692,7.8,47.0,-1.0,3.07,6,10.4,0.58,194.0,0.32
2456,10.6,0.037000000000000005,0.36,0.99592,8.1,36.0,-1.0,3.19,6,7.4,0.54,156.0,0.33
2467,10.2,0.038,0.32,0.99375,7.0,27.0,-1.0,3.2,6,1.7,0.62,128.0,0.28
2468,10.1,0.028999999999999998,0.34,0.99155,5.2,26.0,-1.0,3.25,6,0.8,0.51,77.0,0.16
2472,10.7,0.032,0.23,0.99571,8.8,12.0,-1.0,3.13,6,10.3,0.4,97.0,0.24
2473,10.1,0.043,0.21,0.9965799999999999,6.0,20.0,-1.0,3.11,6,15.55,0.54,142.0,0.29
2476,9.0,0.142,0.49,0.9937,6.8,52.0,-1.0,3.08,6,1.4,0.49,148.0,0.29
2478,9.5,0.047,0.37,0.9954200000000001,6.3,58.0,-1.0,3.19,6,7.9,0.48,215.0,0.27
2479,9.4,0.052000000000000005,0.3,0.99825,6.6,18.0,-1.0,3.37,6,13.0,0.49,143.0,0.24
2481,9.8,0.040999999999999995,0.37,0.9943200000000001,6.4,39.5,-1.0,3.1,6,4.85,0.5,216.5,0.37
2482,9.5,0.047,0.37,0.99523,6.2,54.0,-1.0,3.19,6,7.1,0.48,201.0,0.26
2485,10.1,0.045,0.32,0.9954299999999999,8.0,61.0,-1.0,3.1,6,7.6,0.55,204.0,0.28
2487,11.9,0.034,0.27,0.9908799999999999,7.9,25.0,-1.0,2.97,6,1.7,0.51,122.0,0.27
2489,9.3,0.07400000000000001,0.24,0.9992200000000001,6.1,32.0,-1.0,3.19,6,19.95,0.44,174.0,0.28
2490,10.0,0.036000000000000004,0.49,0.9966,7.7,11.0,-1.0,3.33,6,7.7,0.76,110.0,0.39
2499,11.4,0.039,0.31,0.9937600000000001,6.9,37.0,-1.0,3.32,6,7.0,0.49,175.0,0.26
2504,9.4,0.054000000000000006,0.28,0.9954299999999999,8.5,54.0,-1.0,3.21,6,3.1,0.43,174.0,0.3
2505,9.4,0.053,0.41,0.9988600000000001,7.4,37.0,-1.0,3.2,6,14.1,0.63,194.0,0.4
2506,9.7,0.044000000000000004,0.34,0.99526,6.6,63.0,-1.0,3.22,6,7.7,0.48,212.0,0.32
2508,9.8,0.045,0.25,0.9969100000000001,6.6,45.0,-1.0,3.33,6,11.6,0.43,178.0,0.26
2510,9.2,0.045,0.45,0.9957299999999999,6.2,46.0,-1.0,3.26,6,7.5,0.46,203.0,0.28
2511,9.4,0.057999999999999996,0.49,0.99656,6.2,68.0,-1.0,3.19,6,11.2,0.6,215.0,0.3
2512,9.9,0.043,0.29,0.9911200000000001,5.6,20.0,-1.0,3.28,6,0.8,0.48,67.0,0.175
2516,10.2,0.038,0.29,0.9946299999999999,7.1,33.0,-1.0,3.27,6,4.0,0.64,170.0,0.32
2517,9.5,0.034,0.29,0.9968299999999999,7.3,61.0,-1.0,3.14,6,11.3,0.56,224.0,0.51
2527,10.2,0.036000000000000004,0.35,0.9934200000000001,7.3,29.0,-1.0,3.27,6,1.5,0.51,108.0,0.16
2528,9.8,0.037000000000000005,0.37,0.99345,6.4,27.0,-1.0,3.38,6,1.5,0.5,109.0,0.16
2530,10.5,0.036000000000000004,0.12,0.99239,5.8,57.0,-1.0,3.38,6,1.6,0.59,163.0,0.3
2535,10.6,0.028999999999999998,0.34,0.99497,9.0,21.0,-1.0,3.08,6,6.7,0.5,162.0,0.26
2536,9.2,0.046,0.25,0.99828,6.5,15.0,-1.0,3.15,6,17.3,0.42,110.0,0.23
2537,9.5,0.032,0.14,0.9954200000000001,5.9,30.0,-1.0,3.28,6,8.6,0.44,142.0,0.28
2544,11.0,0.036000000000000004,0.3,0.99269,6.9,28.0,-1.0,3.24,6,1.8,0.48,117.0,0.32
2545,11.2,0.040999999999999995,0.24,0.9919600000000001,7.2,17.0,-1.0,3.25,6,1.4,0.53,159.0,0.22
2548,9.5,0.045,0.42,0.99544,6.3,62.0,-1.0,3.2,6,7.1,0.53,209.0,0.26
2560,11.1,0.03,0.26,0.99106,6.9,11.0,-1.0,3.06,6,2.3,0.42,103.0,0.32
2564,10.6,0.037000000000000005,0.16,0.99167,6.6,28.0,-1.0,2.95,6,1.4,0.45,160.0,0.41
2568,9.6,0.043,0.36,0.99556,6.8,60.0,-1.0,3.16,6,7.0,0.49,207.0,0.28
2569,10.3,0.034,0.24,0.99582,6.6,25.0,-1.0,3.33,6,8.6,0.59,135.0,0.24
2571,12.1,0.032,0.32,0.98972,7.0,29.0,-1.0,3.23,6,1.1,0.36,80.0,0.16
2575,8.9,0.038,0.42,0.9962799999999999,6.7,85.0,-1.0,3.04,6,10.4,0.44,182.0,0.17
2579,9.2,0.156,0.56,0.99354,6.4,49.0,-1.0,3.1,6,1.7,0.37,106.0,0.28
2587,9.2,0.039,0.25,0.9919,5.1,15.0,-1.0,3.22,6,0.7,0.43,89.0,0.14
2590,10.1,0.05,0.28,0.99655,6.9,47.0,-1.0,3.34,6,13.3,0.42,132.0,0.13
2597,11.7,0.023,0.34,0.9895799999999999,6.4,56.0,-1.0,3.18,6,1.4,0.7,115.0,0.22
2599,9.0,0.034,0.27,0.9993799999999999,6.9,58.0,-1.0,3.34,6,16.0,0.6,185.0,0.32
2605,12.0,0.019,0.3,0.98931,7.1,4.0,-1.0,3.2,6,0.9,0.36,28.0,0.2
2606,10.6,0.027999999999999997,0.36,0.9938,7.2,22.0,-1.0,3.48,6,2.5,0.49,157.0,0.2
2607,10.8,0.024,0.33,0.9955799999999999,8.9,47.0,-1.0,3.13,6,8.1,0.46,202.0,0.26
2608,10.8,0.024,0.32,0.9956299999999999,7.5,53.0,-1.0,3.12,6,8.2,0.46,209.0,0.25
2619,9.4,0.063,0.35,0.9953700000000001,6.6,31.0,-1.0,3.1,6,6.0,0.47,150.0,0.35
2628,10.2,0.03,0.24,0.99636,7.0,42.0,-1.0,3.47,6,9.0,0.46,219.0,0.24
2630,10.5,0.027000000000000003,0.26,0.9914799999999999,5.9,23.0,-1.0,3.3,6,1.4,0.36,109.0,0.445
2635,12.8,0.062,0.26,0.98974,8.2,26.0,-1.0,3.1,6,2.1,0.47,87.0,0.32
2638,11.8,0.023,0.38,0.9911200000000001,7.5,42.0,-1.0,3.28,6,1.1,0.53,104.0,0.13
2639,11.6,0.034,0.37,0.99136,9.2,36.0,-1.0,3.05,6,1.1,0.55,84.0,0.14
2640,11.8,0.027999999999999997,0.37,0.9913200000000001,7.4,28.0,-1.0,3.14,6,1.2,0.61,89.0,0.2
2644,10.2,0.11900000000000001,0.24,0.9957799999999999,7.15,56.0,-1.0,3.15,6,9.6,0.44,178.0,0.17
2648,10.2,0.057,0.29,0.99756,6.6,29.0,-1.0,3.33,6,14.45,0.54,144.0,0.23
2659,12.2,0.033,0.34,0.98974,7.1,27.0,-1.0,3.24,6,1.0,0.41,73.0,0.15
2660,9.3,0.067,0.34,0.9954200000000001,6.7,35.0,-1.0,3.11,6,6.6,0.48,156.0,0.33
2661,11.3,0.040999999999999995,0.26,0.99154,7.2,46.0,-1.0,3.19,6,1.5,0.56,178.0,0.3
2662,10.8,0.043,0.33,0.99118,7.0,46.0,-1.0,3.04,6,1.0,0.65,110.0,0.23
2668,12.6,0.039,0.21,0.9918799999999999,9.6,21.0,-1.0,3.0,6,2.0,1.0,120.0,0.655
2673,11.9,0.037000000000000005,0.31,0.9911,7.9,5.0,-1.0,3.19,6,2.85,0.36,24.0,0.37
2676,11.2,0.031,0.33,0.9909399999999999,7.6,33.0,-1.0,3.06,6,1.0,0.68,93.0,0.1
2677,12.0,0.03,0.31,0.9901399999999999,6.2,32.0,-1.0,3.18,6,3.2,0.31,150.0,0.25
2679,9.2,0.040999999999999995,0.28,0.9965200000000001,7.6,29.0,-1.0,3.2,6,7.1,0.42,110.0,0.18
2680,12.9,0.028999999999999998,0.29,0.98944,8.0,52.0,-1.0,3.03,6,2.4,0.33,119.0,0.17
2681,9.3,0.061,0.27,0.99772,7.2,46.0,-1.0,2.99,6,11.2,0.59,149.0,0.19
2682,12.1,0.03,0.25,0.99367,7.6,15.0,-1.0,3.1,6,9.5,0.44,136.0,0.32
2684,11.2,0.026000000000000002,0.29,0.9918299999999999,6.6,35.0,-1.0,3.37,6,1.8,0.48,128.0,0.21
2690,9.3,0.040999999999999995,0.25,0.9942799999999999,6.9,26.0,-1.0,3.18,6,3.3,0.5,124.0,0.3
2691,10.7,0.03,0.27,0.9938799999999999,6.2,26.0,-1.0,3.2,6,10.3,0.36,108.0,0.28
2692,9.8,0.024,0.32,0.99208,6.9,20.0,-1.0,3.05,6,1.2,0.54,166.0,0.31
2693,10.3,0.036000000000000004,0.25,0.99256,6.7,28.0,-1.0,3.3,6,1.6,0.54,143.0,0.23
2695,11.3,0.025,0.28,0.9925,5.7,26.0,-1.0,3.28,6,9.65,0.38,121.0,0.23
2696,8.8,0.048,0.5,0.9990399999999999,6.5,36.0,-1.0,3.02,6,16.4,0.49,182.0,0.22
2704,9.4,0.17,0.38,0.9956,6.6,68.0,-1.0,3.19,6,6.5,0.38,201.0,0.26
2705,9.4,0.171,0.39,0.9956200000000001,6.7,64.0,-1.0,3.19,6,6.4,0.38,200.0,0.26
2706,9.6,0.045,0.39,0.9972,7.5,59.0,-1.0,3.16,6,10.2,0.63,209.0,0.28
2708,9.3,0.044000000000000004,0.42,0.9958,6.8,56.0,-1.0,3.22,6,7.4,0.48,189.0,0.23
2714,9.4,0.043,0.37,0.99579,6.8,59.0,-1.0,3.2,6,7.45,0.5,188.0,0.24
2715,10.1,0.04,0.28,0.99541,7.8,46.0,-1.0,3.14,6,7.2,0.6,179.0,0.25
2717,10.8,0.046,0.29,0.99518,6.8,59.0,-1.0,3.2,6,10.4,0.4,143.0,0.16
2718,10.0,0.027999999999999997,0.29,0.9916799999999999,5.2,18.0,-1.0,3.24,6,1.1,0.54,69.0,0.28
2719,10.9,0.028999999999999998,0.31,0.9927600000000001,7.5,53.0,-1.0,3.03,6,6.5,0.38,160.0,0.18
2723,10.4,0.038,0.25,0.9931200000000001,7.5,29.0,-1.0,3.45,6,1.7,0.56,129.0,0.26
2726,9.8,0.036000000000000004,0.31,0.9927799999999999,5.3,22.0,-1.0,3.41,6,3.6,0.5,91.0,0.2
2727,10.5,0.040999999999999995,0.31,0.99092,6.5,34.0,-1.0,3.06,6,1.5,0.46,121.0,0.17
2728,9.9,0.051,0.28,0.9962,6.5,86.0,-1.0,3.16,6,12.4,0.51,213.0,0.35
2734,10.3,0.048,0.28,0.9949,7.1,50.0,-1.0,3.13,6,9.3,0.49,141.0,0.29
2740,9.3,0.048,0.19,0.9966799999999999,6.3,54.0,-1.0,3.16,6,12.3,0.42,145.0,0.2
2742,9.5,0.048,0.28,0.9952,8.0,49.0,-1.0,3.26,6,2.7,0.72,165.0,0.23
2743,10.5,0.034,0.33,0.99144,6.7,9.0,-1.0,3.08,6,3.6,0.4,45.0,0.27
2746,10.8,0.045,0.3,0.9914,7.0,44.0,-1.0,2.99,6,1.8,0.45,142.0,0.34
2747,10.0,0.057,0.33,0.9969299999999999,7.3,48.0,-1.0,3.1,6,11.8,0.55,127.0,0.26
2751,12.0,0.036000000000000004,0.36,0.99006,6.8,38.0,-1.0,3.19,6,1.4,0.66,108.0,0.17
2752,12.6,0.025,0.3,0.99126,7.1,15.0,-1.0,3.18,6,6.6,0.46,138.0,0.43
2756,10.0,0.059000000000000004,0.34,0.99882,8.6,42.0,-1.0,3.17,6,11.8,0.52,240.0,0.33
2758,9.3,0.039,0.26,0.9947799999999999,5.8,19.0,-1.0,3.36,6,5.1,0.47,103.0,0.13
2759,10.2,0.055,0.35,0.9957600000000001,7.7,25.0,-1.0,3.24,6,5.8,0.54,144.0,0.18
2760,10.2,0.054000000000000006,0.36,0.9957799999999999,7.7,25.0,-1.0,3.25,6,5.9,0.54,148.0,0.16
2763,12.1,0.048,0.34,0.9908399999999999,7.7,4.0,-1.0,3.18,6,1.2,0.34,119.0,0.3
2764,9.5,0.05,0.3,0.9961200000000001,7.9,58.0,-1.0,3.12,6,7.4,0.37,152.0,0.16
2765,11.2,0.027999999999999997,0.29,0.99356,6.4,17.0,-1.0,3.18,6,10.8,0.37,118.0,0.27
2766,12.0,0.034,0.37,0.9895200000000001,6.9,36.0,-1.0,2.93,6,1.8,0.59,95.0,0.16
2771,10.8,0.052000000000000005,0.24,0.99374,6.3,36.0,-1.0,3.8,6,1.7,0.66,135.0,0.2
2777,11.3,0.043,0.36,0.9923700000000001,7.6,24.0,-1.0,3.29,6,1.9,0.54,111.0,0.2
2781,11.7,0.07400000000000001,0.6,1.03898,7.8,8.0,-1.0,3.39,6,65.8,0.69,160.0,0.965
2782,10.4,0.053,0.31,0.99587,7.1,32.0,-1.0,3.31,6,6.85,0.59,211.0,0.2
2783,10.4,0.053,0.31,0.99587,7.1,32.0,-1.0,3.31,6,7.4,0.59,211.0,0.2
2786,12.2,0.034,0.36,0.99354,8.0,8.0,-1.0,3.05,6,11.0,0.41,70.0,0.3
2802,10.5,0.038,0.31,0.9923,5.6,8.0,-1.0,3.3,6,5.3,0.39,79.0,0.15
2805,10.8,0.04,0.26,0.9923799999999999,7.3,36.0,-1.0,3.34,6,1.6,0.44,123.0,0.2
2808,9.4,0.042,0.48,0.99566,7.0,60.0,-1.0,3.2,6,6.1,0.5,184.0,0.27
2812,10.1,0.026000000000000002,0.34,0.9934,6.7,27.0,-1.0,3.34,6,1.6,0.58,109.0,0.16
2819,11.4,0.042,0.34,0.9905200000000001,6.0,63.0,-1.0,3.44,6,2.0,0.42,123.0,0.21
2823,12.4,0.04,0.34,0.9908399999999999,7.6,18.0,-1.0,3.06,6,5.0,0.48,56.0,0.27
2824,9.5,0.047,0.4,0.9957299999999999,7.2,52.0,-1.0,3.18,6,6.3,0.53,172.0,0.26
2825,10.5,0.048,0.22,0.99256,6.3,41.0,-1.0,3.16,6,3.3,0.5,161.0,0.25
2826,9.1,0.053,0.45,0.9959,6.5,52.0,-1.0,3.23,6,8.0,0.48,196.0,0.22
2832,11.0,0.031,0.3,0.99095,6.6,13.0,-1.0,3.17,6,1.1,0.58,73.0,0.17
2834,11.2,0.040999999999999995,0.27,0.9909,6.2,51.0,-1.0,3.28,6,1.4,0.38,117.0,0.15
2837,10.4,0.05,0.3,0.9958100000000001,7.3,35.0,-1.0,3.21,6,9.3,0.5,154.0,0.26
2840,11.2,0.036000000000000004,0.33,0.99136,6.5,23.0,-1.0,3.18,6,3.5,0.38,92.0,0.37
2841,10.5,0.036000000000000004,0.38,0.9914200000000001,5.5,17.0,-1.0,3.29,6,1.7,0.39,98.0,0.375
2842,10.0,0.047,0.4,0.9923200000000001,5.9,23.0,-1.0,3.2,6,1.3,0.45,92.0,0.2
2843,10.0,0.046,0.38,0.9923200000000001,5.9,24.0,-1.0,3.2,6,1.3,0.47,90.0,0.22
2853,10.6,0.027999999999999997,0.39,0.99156,5.3,40.0,-1.0,3.57,6,1.0,0.59,101.0,0.16
2854,11.0,0.047,0.28,0.9927799999999999,6.4,29.0,-1.0,3.15,6,5.9,0.4,101.0,0.21
2859,10.5,0.034,0.36,0.99165,6.6,48.0,-1.0,3.24,6,0.8,0.68,113.0,0.21
2860,10.2,0.037000000000000005,0.33,0.9923,7.3,66.0,-1.0,3.11,6,1.0,0.52,144.0,0.21
2862,12.2,0.027999999999999997,0.32,0.99008,5.1,12.0,-1.0,3.57,6,1.6,0.52,90.0,0.11
2863,12.3,0.036000000000000004,0.32,0.98964,6.5,19.0,-1.0,3.18,6,1.3,0.41,76.0,0.15
2865,10.4,0.032,0.46,0.9909,5.6,33.0,-1.0,3.36,6,1.1,0.5,115.0,0.19
2869,12.3,0.027999999999999997,0.29,0.9907600000000001,6.0,25.0,-1.0,3.14,6,5.0,0.34,108.0,0.17
2871,11.4,0.037000000000000005,0.38,0.99046,6.7,20.0,-1.0,3.09,6,1.7,0.53,84.0,0.15
2878,12.7,0.027000000000000003,0.33,0.98945,5.9,35.0,-1.0,3.37,6,2.1,0.42,138.0,0.32
2879,11.7,0.028999999999999998,0.3,0.9888299999999999,5.7,24.0,-1.0,3.18,6,1.1,0.39,88.0,0.37
2885,12.8,0.033,0.3,0.99265,6.9,24.0,-1.0,3.15,6,10.6,0.45,87.0,0.4
2889,13.0,0.032,0.36,0.99313,8.4,21.0,-1.0,2.95,6,11.1,0.39,132.0,0.36
2891,10.2,0.040999999999999995,0.3,0.9932,6.9,40.0,-1.0,3.16,6,4.7,0.35,148.0,0.2
2900,10.5,0.031,0.37,0.9922,6.1,37.0,-1.0,3.4,6,1.1,0.58,97.0,0.16
2903,11.4,0.035,0.25,0.9902,5.7,26.0,-1.0,3.31,6,1.1,0.52,81.0,0.21
2908,11.3,0.031,0.31,0.99035,6.2,22.0,-1.0,3.24,6,1.0,0.52,73.0,0.2
2909,11.3,0.031,0.3,0.9903200000000001,6.2,23.0,-1.0,3.23,6,1.0,0.52,73.0,0.18
2914,11.4,0.040999999999999995,0.38,0.9904299999999999,6.9,22.0,-1.0,3.03,6,1.0,0.54,81.0,0.14
2916,12.7,0.053,0.26,0.98982,6.0,57.0,-1.0,3.22,6,3.1,0.39,128.0,0.44
2918,11.2,0.019,0.28,0.9902,5.7,15.0,-1.0,3.06,6,2.2,0.52,65.0,0.28
2921,10.5,0.054000000000000006,0.31,0.9948,6.7,27.0,-1.0,3.46,6,2.7,0.57,202.0,0.39
2923,10.8,0.028999999999999998,0.31,0.99326,6.9,41.0,-1.0,3.08,6,6.3,0.49,131.0,0.22
2924,9.1,0.046,0.29,0.99834,6.6,39.0,-1.0,3.05,6,14.4,0.5,118.0,0.22
2932,10.2,0.038,0.32,0.9957299999999999,6.4,69.0,-1.0,3.14,6,11.3,0.5,192.0,0.25
2940,10.7,0.036000000000000004,0.34,0.99397,7.1,49.0,-1.0,3.21,6,7.8,0.4,128.0,0.29
2946,11.0,0.026000000000000002,0.28,0.99308,5.1,27.0,-1.0,3.36,6,8.3,0.37,107.0,0.29
2948,9.4,0.049,0.48,0.99582,6.8,55.0,-1.0,3.21,6,6.2,0.45,182.0,0.26
2949,9.0,0.078,0.52,0.9949399999999999,6.0,30.0,-1.0,3.1,6,5.0,0.36,139.0,0.28
2956,12.0,0.034,0.38,0.99026,8.1,36.0,-1.0,2.8,6,0.9,0.55,86.0,0.12
2957,11.7,0.031,0.3,0.9898600000000001,6.4,37.0,-1.0,3.01,6,1.1,0.56,94.0,0.12
2961,11.0,0.03,0.41,0.9936799999999999,6.9,30.0,-1.0,3.22,6,8.0,0.54,114.0,0.23
2966,9.0,0.051,0.3,0.99835,6.6,33.0,-1.0,3.04,6,14.9,0.54,118.0,0.23
2969,11.0,0.025,0.3,0.9910399999999999,6.7,17.0,-1.0,3.11,6,1.4,0.44,76.0,0.2
2972,10.4,0.039,0.22,0.9929600000000001,6.3,31.0,-1.0,3.12,6,5.6,0.46,128.0,0.22
2974,9.9,0.055999999999999994,0.4,0.9954,7.5,50.0,-1.0,3.06,6,7.1,0.52,110.0,0.19
2975,11.0,0.045,0.33,0.9914,8.0,71.0,-1.0,3.07,6,1.2,0.47,162.0,0.14
2976,12.1,0.026000000000000002,0.39,0.9928600000000001,6.8,34.0,-1.0,3.18,6,9.6,0.35,124.0,0.32
2977,9.7,0.044000000000000004,0.2,0.9960399999999999,6.6,45.0,-1.0,2.96,6,11.4,0.51,131.0,0.23
2982,10.4,0.05,0.31,0.9959600000000001,7.0,29.0,-1.0,3.28,6,8.0,0.57,213.0,0.2
2983,12.0,0.028999999999999998,0.32,0.99011,6.0,48.0,-1.0,3.15,6,3.8,0.34,180.0,0.26
2984,12.7,0.037000000000000005,0.3,0.9918399999999999,6.9,4.0,-1.0,3.07,6,10.55,0.32,28.0,0.3
2989,11.0,0.036000000000000004,0.32,0.9909600000000001,6.2,74.0,-1.0,3.22,6,1.1,0.41,184.0,0.16
2995,12.5,0.037000000000000005,0.34,0.9888,6.6,42.0,-1.0,3.03,6,0.8,0.37,119.0,0.28
2997,11.3,0.035,0.33,0.99082,6.9,35.0,-1.0,3.02,6,1.2,0.58,158.0,0.25
3004,11.0,0.034,0.36,0.99074,6.3,26.0,-1.0,3.16,6,1.2,0.51,111.0,0.18
3005,12.1,0.037000000000000005,0.36,0.9896799999999999,6.9,40.0,-1.0,3.08,6,0.9,0.36,156.0,0.3
3009,8.8,0.054000000000000006,0.5,0.99941,6.5,50.0,-1.0,2.94,6,18.1,0.64,221.0,0.2
3011,11.8,0.028999999999999998,0.36,0.99206,6.6,30.0,-1.0,3.2,6,5.5,0.47,105.0,0.22
3012,12.2,0.026000000000000002,0.37,0.99035,6.8,29.0,-1.0,3.14,6,3.1,0.45,93.0,0.25
3013,10.7,0.042,0.37,0.9958100000000001,7.0,36.0,-1.0,3.05,6,12.85,0.55,105.0,0.13
3014,11.0,0.04,0.34,0.9976,7.0,12.0,-1.0,3.07,6,19.8,0.38,67.0,0.45
3015,11.4,0.02,0.3,0.9936200000000001,7.2,14.0,-1.0,2.99,6,8.25,0.44,104.0,0.32
3017,12.0,0.035,0.3,0.99016,5.9,57.0,-1.0,3.09,6,3.8,0.34,135.0,0.34
3020,11.8,0.028999999999999998,0.35,0.99439,8.4,3.0,-1.0,3.02,6,11.7,0.34,46.0,0.32
3026,10.5,0.024,0.3,0.99456,8.4,17.0,-1.0,2.99,6,8.9,0.34,118.0,0.22
3028,10.5,0.05,0.37,0.99546,7.5,21.0,-1.0,3.2,6,6.2,0.55,138.0,0.18
3031,9.2,0.042,0.25,0.99646,5.8,33.0,-1.0,3.22,6,10.8,0.41,124.0,0.19
3033,9.5,0.045,0.38,0.9957799999999999,6.8,50.0,-1.0,3.15,6,8.3,0.5,185.0,0.24
3034,9.4,0.042,0.47,0.9960399999999999,6.9,36.0,-1.0,3.15,6,8.4,0.55,156.0,0.25
3037,9.4,0.037000000000000005,0.42,0.99884,6.3,57.0,-1.0,3.26,6,17.2,0.57,170.0,0.33
3038,11.3,0.027000000000000003,0.45,0.99054,6.5,43.0,-1.0,3.02,6,2.1,0.52,104.0,0.23
3039,8.8,0.044000000000000004,0.29,0.99782,6.3,59.0,-1.0,3.14,6,12.2,0.4,196.0,0.27
3041,9.4,0.037000000000000005,0.41,0.99882,6.2,58.0,-1.0,3.25,6,16.8,0.57,173.0,0.33
3043,9.2,0.154,1.0,0.9931,7.2,46.0,-1.0,2.95,6,1.1,0.43,114.0,0.21
3044,10.3,0.044000000000000004,0.3,0.99666,6.0,15.0,-1.0,3.12,6,14.7,0.53,144.0,0.27
3045,9.9,0.034,0.26,0.99324,5.7,21.0,-1.0,3.09,6,5.5,0.57,99.0,0.12
3046,12.4,0.027000000000000003,0.37,0.9908600000000001,6.9,38.0,-1.0,3.19,6,6.1,0.34,112.0,0.24
3048,11.7,0.023,0.43,0.99067,7.1,33.0,-1.0,3.11,6,1.3,0.56,132.0,0.17
3054,11.9,0.036000000000000004,0.31,0.9915200000000001,5.8,7.0,-1.0,3.2,6,5.9,0.43,73.0,0.15
3055,12.5,0.024,0.44,0.98935,6.3,36.0,-1.0,3.18,6,1.7,0.4,116.0,0.25
3059,10.5,0.026000000000000002,0.48,0.9918399999999999,8.5,23.0,-1.0,2.9,6,1.1,0.5,58.0,0.19
3065,9.8,0.045,0.38,0.9975,7.0,54.0,-1.0,3.18,6,15.3,0.42,120.0,0.15
3068,12.4,0.033,0.38,0.98962,6.1,28.0,-1.0,3.16,6,2.3,0.49,111.0,0.18
3072,11.3,0.040999999999999995,0.47,0.9918399999999999,7.5,95.0,-1.0,2.92,6,4.1,0.59,163.0,0.25
3082,11.9,0.028999999999999998,0.51,0.9903,6.0,10.0,-1.0,3.46,6,1.2,0.42,102.0,0.35
3084,11.3,0.03,0.35,0.99146,6.6,33.0,-1.0,3.22,6,2.6,0.72,78.0,0.17
3085,10.5,0.036000000000000004,0.4,0.9951,8.5,24.0,-1.0,3.02,6,9.9,0.42,88.0,0.23
3088,12.3,0.024,0.37,0.9887600000000001,6.3,12.0,-1.0,2.94,6,1.5,0.39,76.0,0.37
3091,9.5,0.04,0.47,0.99592,6.3,61.0,-1.0,3.12,6,11.2,0.51,183.0,0.28
3092,11.4,0.043,0.52,0.99129,7.6,28.0,-1.0,3.02,6,3.2,0.53,152.0,0.27
3094,10.0,0.032,0.49,0.9936799999999999,9.7,3.0,-1.0,2.85,6,4.9,0.54,18.0,0.24
3101,10.9,0.038,0.34,0.9943200000000001,7.0,25.0,-1.0,3.11,6,10.9,0.34,84.0,0.26
3102,10.2,0.04,0.26,0.99366,6.5,18.0,-1.0,3.17,6,7.0,0.38,113.0,0.29
3105,11.2,0.045,0.51,0.99126,7.7,26.0,-1.0,3.0,6,2.6,0.5,159.0,0.26
3107,10.6,0.047,0.49,0.9925200000000001,7.7,31.0,-1.0,3.07,6,2.5,0.57,169.0,0.25
3110,11.9,0.033,0.46,0.99045,6.7,19.0,-1.0,3.1,6,2.2,0.62,111.0,0.24
3113,9.2,0.052000000000000005,0.39,0.9988799999999999,6.5,22.0,-1.0,3.11,6,17.3,0.47,126.0,0.24
3114,11.3,0.04,0.32,0.99182,6.3,37.0,-1.0,3.24,6,4.2,0.43,117.0,0.17
3120,9.1,0.049,0.42,0.9958600000000001,6.2,53.0,-1.0,3.16,6,8.0,0.47,206.0,0.25
3122,12.9,0.03,0.27,0.98892,5.6,31.0,-1.0,3.35,6,1.7,0.37,103.0,0.18
3128,11.7,0.039,0.21,0.99098,5.0,31.0,-1.0,3.69,6,2.2,0.62,100.0,0.24
3129,12.0,0.039,0.38,0.98972,6.1,37.0,-1.0,3.2,6,1.5,0.43,122.0,0.21
3130,12.7,0.047,0.38,0.98964,6.5,30.0,-1.0,3.17,6,2.5,0.43,148.0,0.33
3133,12.8,0.034,0.35,0.99008,6.6,38.0,-1.0,3.19,6,2.9,0.4,121.0,0.25
3134,11.2,0.043,0.33,0.992,6.5,45.0,-1.0,3.18,6,4.8,0.44,114.0,0.16
3135,8.9,0.057,0.39,0.99851,6.6,51.0,-1.0,3.26,6,11.9,0.51,221.0,0.39
